invoice_id,created_on,invoiceitem_id,invoiceitem_name,type,unit_price,total_price,percentage_in_invoice,is_expired
301695,2019-04-26,103215,ii_103215,Other,135,945,0.37485124950416504,False
301695,2019-04-26,166227,ii_166227,Equipment,118,708,0.2808409361364538,False
301695,2019-04-26,171394,ii_171394,Other,128,128,0.05077350257834193,False
301695,2019-04-26,195625,ii_195625,Other,148,740,0.2935343117810393,False
304245,2019-03-17,121446,ii_121446,Service,158,632,0.12842918106076,False
304245,2019-03-17,135235,ii_135235,Service,151,906,0.1841089209510262,False
304245,2019-03-17,143674,ii_143674,Service,176,528,0.10729526519000203,False
304245,2019-03-17,155308,ii_155308,Equipment,161,1127,0.22901849217638692,False
304245,2019-03-17,155679,ii_155679,Service,194,582,0.11826864458443406,False
304245,2019-03-17,161145,ii_161145,Service,191,1146,0.23287949603739078,False
305869,2019-09-11,121559,ii_121559,Service,175,175,0.061381971238162046,True
305869,2019-09-11,122089,ii_122089,Material,126,252,0.08839003858295336,True
305869,2019-09-11,132142,ii_132142,Other,101,0,0.0,True
305869,2019-09-11,166763,ii_166763,Equipment,155,1240,0.43493511048754824,True
305869,2019-09-11,167832,ii_167832,Material,179,716,0.25113995089442304,True
305869,2019-09-11,192367,ii_192367,Material,156,468,0.16415292879691337,True
306163,2019-09-18,108876,ii_108876,Material,181,1086,0.3160651920838184,False
306163,2019-09-18,117418,ii_117418,Service,122,122,0.03550640279394645,False
306163,2019-09-18,130442,ii_130442,Material,160,320,0.09313154831199069,False
306163,2019-09-18,136017,ii_136017,Equipment,191,382,0.11117578579743888,False
306163,2019-09-18,137129,ii_137129,Service,131,917,0.2668800931315483,False
306163,2019-09-18,145491,ii_145491,Material,114,228,0.06635622817229336,False
306163,2019-09-18,167964,ii_167964,Service,127,381,0.1108847497089639,False
307175,2019-05-19,122138,ii_122138,Material,195,1560,0.3115638106650689,True
307175,2019-05-19,133742,ii_133742,Equipment,115,345,0.0689035350509287,True
307175,2019-05-19,134663,ii_134663,Material,175,1400,0.27960854803275415,True
307175,2019-05-19,136924,ii_136924,Material,183,1464,0.2923906530856801,True
307175,2019-05-19,185633,ii_185633,Material,119,238,0.0475334531655682,True
307923,2019-04-20,103717,ii_103717,Other,100,200,0.14749262536873156,False
307923,2019-04-20,118576,ii_118576,Other,183,732,0.5398230088495575,False
